DATE,RMFNS
1973-11-01,0.1
1973-12-01,0.1
1974-01-01,0.1
1974-02-01,0.1
1974-03-01,0.2
1974-04-01,0.2
1974-05-01,0.2
1974-06-01,0.3
1974-07-01,0.4
1974-08-01,0.5
1974-09-01,0.7
1974-10-01,0.9
1974-11-01,1.2
1974-12-01,1.4
1975-01-01,1.8
1975-02-01,2.3
1975-03-01,2.5
1975-04-01,2.7
1975-05-01,2.7
1975-06-01,2.6
1975-07-01,2.5
1975-08-01,2.4
1975-09-01,2.4
1975-10-01,2.4
1975-11-01,2.3
1975-12-01,2.3
1976-01-01,2.2
1976-02-01,2.2
1976-03-01,2.2
1976-04-01,2.2
1976-05-01,2.1
1976-06-01,2.0
1976-07-01,1.9
1976-08-01,1.8
1976-09-01,1.8
1976-10-01,1.8
1976-11-01,1.8
1976-12-01,1.7
1977-01-01,1.8
1977-02-01,1.8
1977-03-01,1.8
1977-04-01,1.7
1977-05-01,1.6
1977-06-01,1.5
1977-07-01,1.4
1977-08-01,1.5
1977-09-01,1.6
1977-10-01,1.6
1977-11-01,1.7
1977-12-01,1.6
1978-01-01,1.8
1978-02-01,2.1
1978-03-01,2.3
1978-04-01,2.5
1978-05-01,2.7
1978-06-01,2.9
1978-07-01,3.2
1978-08-01,3.5
1978-09-01,3.9
1978-10-01,4.3
1978-11-01,4.9
1978-12-01,5.4
1979-01-01,6.8
1979-02-01,8.6
1979-03-01,10.2
1979-04-01,11.8
1979-05-01,13.8
1979-06-01,15.9
1979-07-01,18.4
1979-08-01,21.2
1979-09-01,23.6
1979-10-01,26.6
1979-11-01,29.7
1979-12-01,32.2
1980-01-01,36.6
1980-02-01,44.1
1980-03-01,47.1
1980-04-01,46.7
1980-05-01,49.5
1980-06-01,54.7
1980-07-01,58.1
1980-08-01,60.2
1980-09-01,59.9
1980-10-01,60.2
1980-11-01,60.8
1980-12-01,60.3
1981-01-01,62.4
1981-02-01,71.5
1981-03-01,81.5
1981-04-01,92.9
1981-05-01,96.7
1981-06-01,99.9
1981-07-01,109.4
1981-08-01,118.9
1981-09-01,127.5
1981-10-01,134.2
1981-11-01,141.5
1981-12-01,149.1
1982-01-01,152.3
1982-02-01,154.3
1982-03-01,157.3
1982-04-01,160.5
1982-05-01,162.7
1982-06-01,168.8
1982-07-01,167.5
1982-08-01,175.2
1982-09-01,178.6
1982-10-01,180.3
1982-11-01,184.7
1982-12-01,179.4
1983-01-01,162.9
1983-02-01,155.2
1983-03-01,149.6
1983-04-01,143.4
1983-05-01,136.7
1983-06-01,135.6
1983-07-01,134.1
1983-08-01,134.7
1983-09-01,133.5
1983-10-01,133.2
1983-11-01,134.1
1983-12-01,133.5
1984-01-01,133.0
1984-02-01,137.3
1984-03-01,140.0
1984-04-01,141.5
1984-05-01,141.9
1984-06-01,144.0
1984-07-01,145.6
1984-08-01,145.6
1984-09-01,147.1
1984-10-01,150.5
1984-11-01,156.5
1984-12-01,161.9
1985-01-01,166.4
1985-02-01,169.8
1985-03-01,172.4
1985-04-01,171.3
1985-05-01,167.2
1985-06-01,170.3
1985-07-01,170.8
1985-08-01,171.7
1985-09-01,171.6
1985-10-01,171.8
1985-11-01,171.8
1985-12-01,171.4
1986-01-01,173.2
1986-02-01,177.0
1986-03-01,182.4
1986-04-01,187.9
1986-05-01,189.6
1986-06-01,193.6
1986-07-01,195.5
1986-08-01,196.3
1986-09-01,198.0
1986-10-01,202.3
1986-11-01,202.9
1986-12-01,203.6
1987-01-01,205.2
1987-02-01,207.0
1987-03-01,208.3
1987-04-01,208.4
1987-05-01,206.3
1987-06-01,206.7
1987-07-01,206.5
1987-08-01,209.3
1987-09-01,212.6
1987-10-01,214.7
1987-11-01,215.7
1987-12-01,216.9
