"LOCATION";"INDICATOR";"SUBJECT";"MEASURE";"FREQUENCY";"TIME";"Value";"Flag Codes"
"AUS";"M3";"TOT";"IDX2015";"A";"2000";24.14188;
"AUS";"M3";"TOT";"IDX2015";"A";"2001";26.18872;
"AUS";"M3";"TOT";"IDX2015";"A";"2002";28.56336;
"AUS";"M3";"TOT";"IDX2015";"A";"2003";31.49926;
"AUS";"M3";"TOT";"IDX2015";"A";"2004";34.81689;
"AUS";"M3";"TOT";"IDX2015";"A";"2005";37.72851;
"AUS";"M3";"TOT";"IDX2015";"A";"2006";41.79208;
"AUS";"M3";"TOT";"IDX2015";"A";"2007";48.87724;
"AUS";"M3";"TOT";"IDX2015";"A";"2008";58.5621;
"AUS";"M3";"TOT";"IDX2015";"A";"2009";65.51301;
"AUS";"M3";"TOT";"IDX2015";"A";"2010";69.21703;
"AUS";"M3";"TOT";"IDX2015";"A";"2011";75.90085;
"AUS";"M3";"TOT";"IDX2015";"A";"2012";81.86954;
"AUS";"M3";"TOT";"IDX2015";"A";"2013";87.33091;
"AUS";"M3";"TOT";"IDX2015";"A";"2014";93.633;
"AUS";"M3";"TOT";"IDX2015";"A";"2015";100;
"AUS";"M3";"TOT";"IDX2015";"A";"2016";105.9423;
"AUS";"M3";"TOT";"IDX2015";"A";"2017";113.1881;
"AUS";"M3";"TOT";"IDX2015";"A";"2018";116.2508;
"AUS";"M3";"TOT";"IDX2015";"A";"2019";119.7538;
"CAN";"M3";"TOT";"IDX2015";"A";"2000";34.21238;
"CAN";"M3";"TOT";"IDX2015";"A";"2001";36.10247;
"CAN";"M3";"TOT";"IDX2015";"A";"2002";38.24828;
"CAN";"M3";"TOT";"IDX2015";"A";"2003";40.52945;
"CAN";"M3";"TOT";"IDX2015";"A";"2004";44.19386;
"CAN";"M3";"TOT";"IDX2015";"A";"2005";48.535;
"CAN";"M3";"TOT";"IDX2015";"A";"2006";52.15914;
"CAN";"M3";"TOT";"IDX2015";"A";"2007";57.86857;
"CAN";"M3";"TOT";"IDX2015";"A";"2008";64.70291;
"CAN";"M3";"TOT";"IDX2015";"A";"2009";66.78885;
"CAN";"M3";"TOT";"IDX2015";"A";"2010";70.42165;
"CAN";"M3";"TOT";"IDX2015";"A";"2011";75.59847;
"CAN";"M3";"TOT";"IDX2015";"A";"2012";80.67679;
"CAN";"M3";"TOT";"IDX2015";"A";"2013";85.95999;
"CAN";"M3";"TOT";"IDX2015";"A";"2014";93.06658;
"CAN";"M3";"TOT";"IDX2015";"A";"2015";100;
"CAN";"M3";"TOT";"IDX2015";"A";"2016";108.6319;
"CAN";"M3";"TOT";"IDX2015";"A";"2017";115.3934;
"CAN";"M3";"TOT";"IDX2015";"A";"2018";121.1188;
"CAN";"M3";"TOT";"IDX2015";"A";"2019";130.4731;
"CZE";"M3";"TOT";"IDX2015";"A";"2000";39.75081;
"CZE";"M3";"TOT";"IDX2015";"A";"2001";44.05944;
"CZE";"M3";"TOT";"IDX2015";"A";"2002";40.28669;
"CZE";"M3";"TOT";"IDX2015";"A";"2003";42.53726;
"CZE";"M3";"TOT";"IDX2015";"A";"2004";45.55716;
"CZE";"M3";"TOT";"IDX2015";"A";"2005";48.41615;
"CZE";"M3";"TOT";"IDX2015";"A";"2006";54.41107;
"CZE";"M3";"TOT";"IDX2015";"A";"2007";62.62323;
"CZE";"M3";"TOT";"IDX2015";"A";"2008";70.9817;
"CZE";"M3";"TOT";"IDX2015";"A";"2009";77.03479;
"CZE";"M3";"TOT";"IDX2015";"A";"2010";78.13431;
"CZE";"M3";"TOT";"IDX2015";"A";"2011";79.69527;
"CZE";"M3";"TOT";"IDX2015";"A";"2012";84.10152;
