Country;ExchangeName;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
United Arab Emirates;Abu Dhabi Securities Exchange;0;0;0;25347.04;55491.91;122644.01;71052.48;120690.68;68810.33;80194.71;77289.81;63355.75;67950.51;109638.71;113739.99;111936.73;120976.73;124529.18;137617.47;144598.97;202173.93
United States;American Stock Exchange;86775;60292;44769;93120;83236;86288;282801;257797;132367.21;0;0;0;0;0;0;0;0;0;0;0;0
Jordan;Amman Stock Exchange;0;0;0;0;0;0;0;40838.46;35894.7;31826.65;30864.42;27183.02;26967.48;25764.43;25554.86;25452.41;24553.07;23968.56;22740.04;21036.39;18205.66
Armenia;Armenia Securities Exchange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.81;54.96;26.95
Australia;ASX Australian Securities Exchange;372794.35;375130.79;380087;585529.69;776402.76;804014.82;1095857.96;1298315.04;683871.56;1261909.34;1454490.57;1198187.41;1386873.96;1365958.13;1288708.34;1187083.45;1316796.28;1508462.8;1262800.27;1487598.5;1720556.18
Greece;Athens Stock Exchange;0;84752.03;67061.46;106643.67;125241.63;145120.74;200696.04;264960.82;90200;112632.4;67586.42;33778.89;44876.55;82594.24;55154.27;41025.44;37206.16;50605.06;38370.85;53653.98;50986.89
Brazil;B3 - Brasil Bolsa Balcao;226152.31;186237.61;126761.53;234560.04;330346.58;474646.88;710247.45;1369711.27;591965.55;1337247.68;1545565.66;1228936.23;1227447.02;1020455.33;843894.2;490534.11;774133.32;954715.1;916824.39;1187361.69;988374.32
Bahrain;Bahrain Bourse;6624.35;6599.5;0;9626.79;13540.85;17364.82;21122.39;27088.35;19947.35;16262.63;20059.73;16589.95;0;18627.48;22067.53;19251.07;19369.32;21706.18;21862.75;26882.28;24608.09
;Banja Luka SE;;;;;;1631.39;5037.76;5881.12;2759.03;2877.05;2616.78;2263.89;0;;;;;;;;
Barbados;Barbados Stock Exchange;1706.53;1837.3;0;0;0;0;0;0;0;0;2186.55;4567.52;0;3985.46;2683.59;2949.09;3096.52;3350.92;3541.58;3398;2780.43
United States;BATS Global Markets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18315730;0;0;0;0
Lebanon;Beirut Stock Exchange;1554.26;1228;1326.45;1417.74;2206.29;4809.84;8143.96;10745.91;9583.57;12849.82;12697.35;9047.14;0;10668.22;11328.15;11380.95;12122.53;11491.77;9675.18;7735.8;6702.77
Belarus;Belarusian Currency and Stock Exchange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;574.81;534.01;1238.75;0;0;0;0
Serbia;Belgrade SE;0;0;0;1426.6;3259.9;5365.22;10825.4;23721.64;12575.89;11415.84;1541.58;1791.69;0;0;0;0;0;0;0;0;0
Bermuda;Bermuda Stock Exchange;2146;2558;2153;2900.7;1849.44;2124.78;2703.53;2731.11;1912.33;1360.19;1534.95;1232.34;1486.9;1467;1601.48;1850;2521.63;2718.79;2393.2;2965.3;220.4
