DATE,A14187USA163NNBR
1869-01-01,4.570
1870-01-01,4.122
1871-01-01,3.906
1872-01-01,4.340
1873-01-01,4.354
1874-01-01,4.231
1875-01-01,3.995
1876-01-01,4.191
1877-01-01,4.482
1878-01-01,4.699
1879-01-01,4.667
1880-01-01,4.967
1881-01-01,4.100
1882-01-01,4.165
1883-01-01,3.764
1884-01-01,3.747
1885-01-01,3.427
1886-01-01,3.300
1887-01-01,3.221
1888-01-01,3.098
1889-01-01,3.059
1890-01-01,2.934
1891-01-01,2.938
1892-01-01,2.813
1893-01-01,2.866
1894-01-01,2.546
1895-01-01,2.709
1896-01-01,2.674
1897-01-01,2.814
1898-01-01,2.552
1899-01-01,2.478
1900-01-01,2.528
1901-01-01,2.473
1902-01-01,2.353
1903-01-01,2.344
1904-01-01,2.212
1905-01-01,2.175
1906-01-01,2.320
1907-01-01,2.302
1908-01-01,2.082
1909-01-01,2.235
1910-01-01,2.198
1911-01-01,2.095
1912-01-01,2.147
1913-01-01,2.174
1914-01-01,1.911
1915-01-01,1.896
1916-01-01,2.120
1917-01-01,2.180
1918-01-01,2.508
1919-01-01,2.280
1920-01-01,2.196
1921-01-01,1.896
1922-01-01,1.883
1923-01-01,2.040
1924-01-01,1.967
1925-01-01,1.884
1926-01-01,1.951
1927-01-01,1.873
1928-01-01,1.845
1929-01-01,1.953
1930-01-01,1.701
1931-01-01,1.470
1932-01-01,1.281
1933-01-01,1.381
1934-01-01,1.518
1935-01-01,1.525
1936-01-01,1.598
1937-01-01,1.668
1938-01-01,1.535
1939-01-01,1.523
1940-01-01,1.509
1941-01-01,1.608
1942-01-01,1.837
1943-01-01,1.766
1944-01-01,1.614
1945-01-01,1.372
1946-01-01,1.163
1947-01-01,1.202
1948-01-01,1.335
1949-01-01,1.301
1950-01-01,1.410
1951-01-01,1.567
1952-01-01,1.558
1953-01-01,1.570
1954-01-01,1.509
1955-01-01,1.589
1956-01-01,1.656
1957-01-01,1.683
1958-01-01,1.613
1959-01-01,1.683
1960-01-01,1.741
1961-01-01,1.701
1962-01-01,1.701
1963-01-01,1.660
1964-01-01,1.657
1965-01-01,1.653
1966-01-01,1.680
